"ID","Name","object"
"251","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02480965293943882""},""kd"":{""N"":""0.04418997839093208""},""ki"":{""N"":""0.012360277585685253""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.03342753588869465""},""overshoot"":{""N"":""14.22363457620671""},""settlingTime"":{""N"":""9.8""}}}}"
"1007","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009686604142189026""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.1331613824219356""},""overshoot"":{""N"":""6.0419472450215155""},""settlingTime"":{""N"":""12.5""}}}}"
"187","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02256201207637787""},""kd"":{""N"":""0.041072238236665726""},""ki"":{""N"":""0.00947079062461853""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.06670663416139937""},""overshoot"":{""N"":""12.506253508414774""},""settlingTime"":{""N"":""12.4""}}}}"
"154","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.0315161868929863""},""kd"":{""N"":""0.03883829340338707""},""ki"":{""N"":""0.011723240837454796""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.09993185390171865""},""overshoot"":{""N"":""8.76082976299522""},""settlingTime"":{""N"":""10.700000000000001""}}}}"
"1175","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.004455571994185448""},""kd"":{""N"":""0.0008315530139952898""},""ki"":{""N"":""0.0005543687148019671""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""115.51723935941448""},""overshoot"":{""N"":""496.55176432322776""},""settlingTime"":{""N"":""17.52577319587629""}}}}"
"1259","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.0043987100943923""},""kd"":{""N"":""0.00010945476969936863""},""ki"":{""N"":""0.00007296984404092655""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""61.69601351677544""},""overshoot"":{""N"":""67.69672261455256""},""settlingTime"":{""N"":""19.48453608247423""}}}}"
"1091","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.0057481154799461365""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.8543711874606086""},""overshoot"":{""N"":""6.107515898487363""},""settlingTime"":{""N"":""18.400000000000002""}}}}"
"1303","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.039249204099178314""},""kd"":{""N"":""0.038605574518442154""},""ki"":{""N"":""0.009161734953522682""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.19890297580522168""},""overshoot"":{""N"":""5.2875837772748""},""settlingTime"":{""N"":""8.041237113402063""}}}}"
"7","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.036174412816762924""},""kd"":{""N"":""0.04013798013329506""},""ki"":{""N"":""0.00139157276134938""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.926673132781828""},""overshoot"":{""N"":""3.4674706376312323""},""settlingTime"":{""N"":""19.3""}}}}"
"947","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.027992654591798782""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.016573547601618034""},""overshoot"":{""N"":""7.506209012232492""},""settlingTime"":{""N"":""10.200000000000001""}}}}"
"1215","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.008700000122189522""},""kd"":{""N"":""0.002099999925121665""},""ki"":{""N"":""0.00139999995008111""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0""},""overshoot"":{""N"":""0""},""settlingTime"":{""N"":""0""}}}}"
"115","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.017917534336447716""},""kd"":{""N"":""0.038634076714515686""},""ki"":{""N"":""0.006339590065181255""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""9.98080789872264""},""overshoot"":{""N"":""14.507360022937974""},""settlingTime"":{""N"":""19""}}}}"
"512","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.06348319351673126""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.26658136795070064""},""overshoot"":{""N"":""22.275907635463003""},""settlingTime"":{""N"":""13""}}}}"
"1073","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.006156039424240589""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.5412095373178032""},""overshoot"":{""N"":""5.726806423217679""},""settlingTime"":{""N"":""16.400000000000002""}}}}"
"930","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.042077191174030304""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.1831207060366278""},""overshoot"":{""N"":""6.092889978519324""},""settlingTime"":{""N"":""7""}}}}"
"843","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03215453028678894""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.21573233298880784""},""overshoot"":{""N"":""5.077993782739864""},""settlingTime"":{""N"":""11.4""}}}}"
"1437","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.047221504151821136""},""kd"":{""N"":""0.041474029421806335""},""ki"":{""N"":""0.010259800590574741""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.4646536713238638""},""overshoot"":{""N"":""9.508790566513305""},""settlingTime"":{""N"":""8.65979381443299""}}}}"
"286","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.005092051345854998""},""kd"":{""N"":""0.04582752659916878""},""ki"":{""N"":""0.006852077320218086""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.24244693653152""},""overshoot"":{""N"":""29.038031279972397""},""settlingTime"":{""N"":""17""}}}}"
"361","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.040824659168720245""},""kd"":{""N"":""0.04036687687039375""},""ki"":{""N"":""0.007330541964620352""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.0475736167762717""},""overshoot"":{""N"":""3.314443146980104""},""settlingTime"":{""N"":""7.1000000000000005""}}}}"
"380","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03520415723323822""},""kd"":{""N"":""0.03931090980768204""},""ki"":{""N"":""0.009013324044644833""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.4651940654844667""},""overshoot"":{""N"":""5.432800763816607""},""settlingTime"":{""N"":""12.9""}}}}"
"1276","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03549479693174362""},""kd"":{""N"":""0.03799532726407051""},""ki"":{""N"":""0.009947970509529114""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""105.583758335634""},""overshoot"":{""N"":""216.7512604839428""},""settlingTime"":{""N"":""17.52577319587629""}}}}"
"678","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.001397595158778131""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""8.636615224408624""},""overshoot"":{""N"":""9.089256702221881""},""settlingTime"":{""N"":""17.6""}}}}"
"526","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.07703369110822678""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.31836358692504846""},""overshoot"":{""N"":""25.821046467077718""},""settlingTime"":{""N"":""15""}}}}"
"1482","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03366980701684952""},""kd"":{""N"":""0.047563597559928894""},""ki"":{""N"":""0.0034760006237775087""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.259713042190634""},""overshoot"":{""N"":""7.862560373295962""},""settlingTime"":{""N"":""19.896907216494846""}}}}"
"1494","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.013133763335645199""},""kd"":{""N"":""0.050042543560266495""},""ki"":{""N"":""0.004275573417544365""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""5.231177776130093""},""overshoot"":{""N"":""20.21339330480609""},""settlingTime"":{""N"":""19.278350515463917""}}}}"
"117","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.015729842707514763""},""kd"":{""N"":""0.03799009695649147""},""ki"":{""N"":""0.00560976704582572""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""11.031091585864502""},""overshoot"":{""N"":""15.949417796642607""},""settlingTime"":{""N"":""19.3""}}}}"
